,3-Carene,CBDA,CBG,Camphene,CaryophylleneOxide,D-Limonene,Eucalyptol,Geraniol,Guaiol,Isopulegol,Label,Linalool,Myrcene,Nerolidol-1,Nerolidol-2,Ocimene,THCA,Terpinolene,TotalCBD,p-Cymene,Δ9-THC,α-Bisabolol,α-Humelene,α-Pinene,α-Terpinene,β-Caryophyllene,β-Pinene,γ-Terpinene
4,0.29,0.0,0.0,0.08,0.0,1.05,0.06,0.0,0.0,0.0,0.0,0.28,2.03,0.0,0.0,3.03,222.0,3.91,0.0,0.21,0.0,0.19,0.58,0.84,0.3,1.42,0.42,0.33
5,0.35,0.0,0.0,0.04,0.0,1.67,0.05,0.0,0.31,0.0,1.0,0.44,2.91,0.0,0.0,4.27,253.0,4.65,0.0,0.19,0.0,0.35,0.76,0.79,0.28,1.7,0.64,0.37
7,0.03,0.0,0.0,0.17,0.07,1.3,0.0,0.16,0.08,0.11,0.0,1.02,5.68,0.14,0.1,0.07,263.0,0.06,0.0,0.0,0.0,0.12,0.29,2.26,0.03,0.63,0.62,0.02
9,0.0,65.0,0.0,0.13,0.0,3.03,0.06,0.0,0.0,0.0,1.0,0.52,3.75,0.0,0.0,0.89,124.0,0.06,62.0,0.05,0.0,0.2,0.32,0.96,0.0,0.86,0.39,0.04
12,0.0,0.0,0.0,0.13,0.0,2.38,0.0,0.0,0.0,0.0,1.0,0.88,0.54,0.11,0.0,0.14,142.0,0.08,0.0,0.0,0.0,0.46,0.55,0.39,0.03,1.61,0.5,0.03
13,0.0,0.0,0.0,0.02,0.0,0.73,0.0,0.0,0.0,0.0,1.0,0.3,7.51,0.0,0.0,0.12,160.0,0.05,0.0,0.0,0.0,0.0,0.17,1.8,0.04,0.31,0.6,0.03
14,0.4,0.0,0.0,0.08,0.0,1.18,0.08,0.0,0.31,0.0,1.0,0.25,1.88,0.0,0.0,1.25,221.0,4.58,0.0,0.12,0.0,0.15,0.32,0.97,0.31,0.96,0.98,0.38
22,0.0,0.0,0.0,0.08,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.5,9.91,0.0,0.0,0.14,237.0,0.06,0.0,0.0,0.0,0.38,0.6,4.62,0.04,1.58,1.71,0.04
27,0.62,0.0,0.0,0.06,0.0,2.35,0.1,0.0,0.47,0.0,1.0,0.29,4.24,0.0,0.44,4.78,299.0,11.09,0.0,0.26,0.0,0.0,0.3,1.11,0.6,0.63,1.25,0.66
34,0.16,0.0,0.0,0.06,0.0,1.84,0.03,0.0,0.0,0.0,1.0,0.36,1.18,0.0,0.0,1.56,109.0,3.01,0.0,0.04,0.0,0.4,0.59,0.5,0.18,1.63,0.59,0.21
35,0.0,0.0,0.0,0.12,0.0,2.89,0.05,0.0,0.0,0.0,1.0,0.56,8.36,0.0,0.0,0.38,189.0,0.06,0.0,0.0,0.0,0.42,1.32,3.15,0.0,3.1,1.47,0.06
36,0.18,0.0,0.0,0.12,0.0,0.98,0.03,0.0,0.17,0.0,1.0,0.22,5.99,0.0,0.0,0.12,159.0,0.63,0.0,0.18,0.0,0.26,0.29,2.75,0.13,0.76,0.98,0.19
37,0.0,0.0,0.0,0.04,0.0,0.96,0.0,0.0,0.0,0.0,1.0,0.43,4.57,0.0,0.0,0.14,152.0,0.03,0.0,0.0,0.0,0.38,0.46,0.17,0.03,1.14,0.27,0.02
40,0.0,0.0,0.0,0.12,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.53,5.56,0.0,0.0,0.85,210.0,0.05,0.0,0.0,0.0,0.14,0.51,2.46,0.03,1.51,0.63,0.03
